iteration,cumulative_seconds,relative_gap
250,10.1387972832,3.811350699296e-03
251,10.1858913898,3.662290241504e-03
252,10.2303335667,3.653674220126e-03
253,10.2684512138,3.712012684243e-03
254,10.3126530647,3.716162412971e-03
255,10.3544971943,3.662743614973e-03
256,10.4028897285,3.597384995491e-03
257,10.4404284954,3.596335992924e-03
258,10.4813718796,3.663032053946e-03
259,10.5239753723,3.498979285540e-03
260,10.5635726452,3.490852519751e-03
261,10.6011281013,3.729323690307e-03
262,10.6451172829,3.579052399688e-03
263,10.7018976212,3.520654298213e-03
264,10.7446830273,3.486157715212e-03
265,10.7916421890,3.446949394951e-03
266,10.8409447670,3.474252188977e-03
267,10.8956384659,3.450663143411e-03
268,10.9426584244,3.548731724728e-03
269,10.9972069263,3.478319393929e-03
270,11.0468237400,3.391201012931e-03
271,11.2760713100,3.401986435155e-03
272,11.3589112759,3.415602995490e-03
273,11.4194302559,3.323779284828e-03
274,11.4762177467,3.448508077577e-03
275,11.5230815411,3.370072769552e-03
276,11.5803959370,3.314547763139e-03
277,11.6245560646,3.488288736781e-03
278,11.6743612289,3.342739314325e-03
279,11.7188372612,3.269734137531e-03
280,11.7610015869,3.325320691146e-03
281,11.8028311729,3.248071441983e-03
282,11.8482162952,3.265397193127e-03
283,11.8957126141,3.326443632868e-03
284,11.9477891922,3.168043811617e-03
285,11.9902632236,3.214168932237e-03
286,12.0301940441,3.260999340871e-03
287,12.0960488319,3.222884065391e-03
288,12.1356606483,3.315164965687e-03
289,12.1826605797,3.163024385529e-03
290,12.2225570679,3.158144738358e-03
291,12.2633118629,3.280596889485e-03
292,12.3037395477,3.161838020892e-03
293,12.3412239552,3.102964827754e-03
294,12.3744041920,3.263210317407e-03
295,12.4087061882,3.172730477853e-03
296,12.4492421150,3.059812521019e-03
297,12.4914038181,3.125621688053e-03
298,12.5255646706,3.018798544568e-03
299,12.5683016777,3.151440592968e-03
300,12.6076519489,3.125487926712e-03
301,12.6624677181,3.052607161612e-03
302,12.7047474384,3.007750907414e-03
