iteration,cumulative_seconds,relative_gap
59,1.2859239578,1.566737609721e-02
60,1.3051714897,1.537123390042e-02
61,1.3273992538,1.523484478968e-02
62,1.3475971222,1.451008910745e-02
63,1.3668158054,1.445508390023e-02
64,1.3869822025,1.419322686716e-02
65,1.4170088768,1.412773450017e-02
66,1.4368650913,1.440893113079e-02
67,1.4578225613,1.378944169936e-02
68,1.4797806740,1.333311151980e-02
69,1.4986703396,1.352488973292e-02
70,1.5197279453,1.285688064913e-02
71,1.5454277992,1.297667284227e-02
72,1.5646724701,1.295345405099e-02
73,1.5861668587,1.241959502879e-02
74,1.6067011356,1.209372457938e-02
75,1.6273698807,1.224512328876e-02
76,1.6542661190,1.200802393590e-02
77,1.6737904549,1.208611756711e-02
78,1.6943807602,1.157325617618e-02
79,1.7175474167,1.169338760442e-02
80,1.7360467911,1.110449810987e-02
81,1.7641777992,1.128348493932e-02
82,1.7928881645,1.148385689486e-02
83,1.8226156235,1.084950877161e-02
84,1.8483142853,1.065682149662e-02
85,1.9351308346,1.137139015818e-02
86,1.9689607620,1.067603002873e-02
87,1.9995436668,1.040501029081e-02
88,2.0216865540,1.026950271357e-02
89,2.0469644070,1.017059653501e-02
90,2.0669670105,1.027689656017e-02
91,2.0867538452,1.021890189818e-02
92,2.1078464985,9.760849912318e-03
93,2.1327762604,9.738781469622e-03
94,2.1551852226,9.632078190344e-03
95,2.1748425961,9.591158010828e-03
96,2.1968505383,9.717392054692e-03
97,2.2191209793,9.467303637062e-03
98,2.2463612556,9.158386165373e-03
99,2.2668433189,9.545192153054e-03
100,2.2864494324,9.182920163787e-03
101,2.3063275814,8.988577673898e-03
102,2.3292918205,8.974026966700e-03
103,2.3505454063,8.831410404637e-03
104,2.3719198704,8.746658435961e-03
105,2.3929352760,8.668944050246e-03
106,2.4151105881,8.709542470872e-03
107,2.4340510368,8.607678901728e-03
108,2.4540436268,8.428121251950e-03
109,2.4764823914,8.505306538994e-03
110,2.4991683960,8.219594385329e-03
111,2.5192692280,8.076985726254e-03
112,2.5388855934,8.239506403652e-03
113,2.5612945557,8.083107979516e-03
114,2.5868928432,7.926391319997e-03
115,2.6070997715,8.134242932024e-03
116,2.6286904812,7.901238121049e-03
117,2.6480932236,7.656417966320e-03
118,2.6669518948,7.632694135754e-03
119,2.6874992847,7.750922902131e-03
120,2.7106156349,7.692471605086e-03
121,2.7335159779,7.701219579946e-03
122,2.7550158501,7.480635110992e-03
123,2.7752473354,7.402200750033e-03
124,2.7970991135,7.233784247054e-03
125,2.8183045387,7.289486461112e-03
126,2.8374941349,7.152850464214e-03
127,2.8607950211,7.296522845081e-03
128,2.8809957504,7.212941966012e-03
129,2.9010810852,6.941635350408e-03
130,2.9196832180,7.027926799485e-03
131,2.9374992847,7.235814876258e-03
132,2.9595477581,6.877190761694e-03
133,2.9809300900,6.907453930187e-03
134,3.0010206699,6.891889956930e-03
135,3.0205667019,6.727259774740e-03
136,3.0401270390,6.645141199541e-03
137,3.0657064915,6.800904028113e-03
138,3.0856180191,6.607530913546e-03
139,3.1047093868,6.495161308557e-03
140,3.1275141239,6.841865488057e-03
141,3.1474971771,6.486141877701e-03
142,3.1681034565,6.229739588076e-03
143,3.1968469620,6.523233714518e-03
144,3.2188205719,6.363425379685e-03
145,3.2384819984,6.474052303174e-03
146,3.2613010406,6.326107837205e-03
147,3.2822625637,6.099639497155e-03
148,3.3046395779,6.098709946001e-03
149,3.3265368938,6.125487360388e-03
150,3.3466649055,6.081014868089e-03
151,3.3672161102,6.009572949097e-03
152,3.3888144493,6.291505901951e-03
153,3.4088671207,5.919096117141e-03
154,3.4325778484,5.898755924577e-03
155,3.4536025524,5.978391510945e-03
156,3.4743432999,5.825157781276e-03
157,3.4975035191,5.709518627326e-03
158,3.5202121735,5.674276334327e-03
159,3.5482327938,5.921003327302e-03
160,3.5684175491,5.796283177963e-03
161,3.5912241936,5.548663090876e-03
162,3.6145710945,5.615680393295e-03
163,3.6338303089,5.588378267157e-03
164,3.6622653008,5.469297932646e-03
165,3.6831719875,5.610950895741e-03
166,3.7028889656,5.389239288496e-03
167,3.7237653732,5.395903703199e-03
168,3.7460401058,5.645306541676e-03
169,3.7679963112,5.385393039672e-03
170,3.7957866192,5.377581404864e-03
171,3.8164730072,5.369033531704e-03
172,3.8351831436,5.133476404974e-03
173,3.8543920517,5.212819145713e-03
174,3.8768925667,5.303040188990e-03
175,3.8985869884,5.287808059622e-03
176,3.9180729389,5.220965489460e-03
177,3.9374318123,5.007048502788e-03
178,3.9590277672,5.177901922636e-03
179,3.9790930748,5.076994328261e-03
180,4.0007212162,5.129305499062e-03
181,4.0269045830,5.199503684245e-03
182,4.0467500687,4.896684666456e-03
183,4.0661144257,5.018852120971e-03
184,4.0863993168,4.968296753926e-03
185,4.1052894592,4.893407108274e-03
186,4.1277379990,5.014929063132e-03
187,4.1480932236,4.879453922128e-03
188,4.1677925587,4.715176090336e-03
189,4.1900374889,4.952970521322e-03
190,4.2135391235,4.763613702385e-03
191,4.2333395481,4.766893950711e-03
192,4.2532620430,4.774804876636e-03
193,4.2789204121,4.625059323933e-03
194,4.2976913452,4.838238862615e-03
195,4.3181676865,4.732260919828e-03
196,4.3367743492,4.596898061862e-03
197,4.3651413918,4.601769854493e-03
198,4.3867201805,4.627848290126e-03
199,4.4070017338,4.577961314476e-03
200,4.4286634922,4.501665094903e-03
201,4.4488465786,4.723479759061e-03
202,4.4694356918,4.522320102535e-03
203,4.4966487885,4.445393383542e-03
204,4.5177445412,4.538477073107e-03
205,4.5365598202,4.498280590792e-03
206,4.5591073036,4.365458516970e-03
207,4.5799789429,4.398566174236e-03
208,4.6015632153,4.358907720607e-03
209,4.6242768764,4.340610419214e-03
210,4.6448414326,4.379195798611e-03
211,4.6643404961,4.230843833265e-03
212,4.6834051609,4.242197159419e-03
213,4.7011561394,4.468553530274e-03
214,4.7224087715,4.318647768444e-03
215,4.7409343719,4.229700744391e-03
216,4.7604734898,4.159051489185e-03
217,4.7802510262,4.258259936088e-03
218,4.7986423969,4.220261336308e-03
219,4.8226916790,4.199451324204e-03
220,4.8432013988,4.131503081132e-03
221,4.8638317585,4.099598160732e-03
222,4.8829689026,4.146923186148e-03
223,4.9010546207,4.017148256164e-03
