iteration,cumulative_seconds,relative_gap
199,4.715840,0.004710319264
200,4.735936,0.004726352111
201,4.758129,0.004591346412
202,4.781049,0.004604086671
203,4.807331,0.004582378052
204,4.826784,0.004485582111
205,4.846965,0.004557725339
206,4.866914,0.004385438036
207,4.889785,0.004466766404
208,4.911147,0.004485300019
209,4.938818,0.004462998650
210,4.960796,0.004329961687
211,4.982982,0.004499719223
212,5.001528,0.004418476132
213,5.022715,0.004477002150
214,5.048491,0.004287849027
215,5.068484,0.004339207169
216,5.091069,0.004392198475
217,5.111120,0.004295756422
218,5.131577,0.004265139219
219,5.158207,0.004287024856
220,5.179824,0.004240977634
221,5.201602,0.004252199238
222,5.226388,0.004178417413
223,5.248870,0.004181498024
224,5.267857,0.004122877907
225,5.293980,0.004097185507
226,5.314183,0.004053417641
227,5.336141,0.004146886871
228,5.359007,0.004092477744
229,5.382408,0.004059647519
230,5.407600,0.003989764753
231,5.427502,0.004035226892
232,5.449106,0.003973934364
233,5.471119,0.004009243683
234,5.492686,0.003920654312
235,5.513106,0.003861700206
236,5.535804,0.003961757761
237,5.558915,0.003941886862
238,5.579468,0.003864243829
239,5.598707,0.003783938579
240,5.617260,0.003856878492
241,5.639261,0.003910756396
242,5.660446,0.003871264143
243,5.680139,0.003856409909
244,5.701421,0.003698045309
245,5.720996,0.003831554512
246,5.745761,0.003752630535
247,5.766365,0.003709047855
248,5.785534,0.003686083495
249,5.803700,0.003709660737
250,5.823320,0.003811350699
251,5.842462,0.003662290242
252,5.862618,0.003653674220
253,5.882340,0.003712012684
254,5.902140,0.003716162413
255,5.921095,0.003662743615
256,5.942799,0.003597384995
257,5.960970,0.003596335993
258,5.983452,0.003663032054
259,6.001962,0.003498979286
260,6.023542,0.003490852520
261,6.042150,0.003729323690
262,6.060252,0.003579052400
263,6.079701,0.003520654298
264,6.101988,0.003486157715
265,6.123222,0.003446949395
266,6.142635,0.003474252189
267,6.161535,0.003450663143
268,6.180809,0.003548731725
269,6.199573,0.003478319394
270,6.224724,0.003391201013
271,6.245069,0.003401986435
272,6.263457,0.003415602995
273,6.283605,0.003323779285
274,6.301497,0.003448508078
275,6.320936,0.003370072770
276,6.342613,0.003314547763
277,6.362518,0.003488288737
278,6.382349,0.003342739314
279,6.402166,0.003269734138
280,6.421700,0.003325320691
281,6.440974,0.003248071442
282,6.464248,0.003265397193
283,6.485367,0.003326443633
284,6.503329,0.003168043812
285,6.524125,0.003214168932
286,6.543660,0.003260999341
287,6.562397,0.003222884065
288,6.583751,0.003315164966
289,6.602895,0.003163024386
290,6.622931,0.003158144738
291,6.642689,0.003280596889
292,6.661646,0.003161838021
293,6.682933,0.003102964828
294,6.703608,0.003263210317
295,6.724232,0.003172730478
296,6.743174,0.003059812521
297,6.761858,0.003125621688
298,6.782836,0.003018798545
299,6.802495,0.003151440593
300,6.821980,0.003125487927
301,6.839903,0.003052607162
302,6.859137,0.003007750907
303,6.878850,0.003140050127
304,6.898570,0.003081026728
305,6.917960,0.003000388782
306,6.944197,0.002990955829
307,6.962181,0.003060921422
308,6.982130,0.002998452683
309,7.000524,0.002990167017
310,7.019742,0.003001865831
311,7.038206,0.002980694213
312,7.063812,0.003004359206
313,7.081746,0.002930081699
314,7.099825,0.002964232449
315,7.119470,0.002920040492
316,7.141949,0.002953215321
317,7.164411,0.002917862785
318,7.185567,0.002863517419
319,7.205557,0.002870210172
320,7.226363,0.002883241816
321,7.247760,0.002870194426
322,7.266548,0.002893957177
323,7.285606,0.002844513915
324,7.304397,0.002827975971
325,7.324198,0.002846476349
326,7.342705,0.002913954178
327,7.360806,0.002776389419
328,7.379769,0.002834110725
329,7.401412,0.002862198949
330,7.422512,0.002774280913
331,7.442728,0.002815612660
332,7.462470,0.002809912325
333,7.482645,0.002785309029
334,7.501103,0.002772455082
335,7.524678,0.002783198108
336,7.545467,0.002714814275
337,7.563043,0.002806405921
338,7.582291,0.002733912844
339,7.599680,0.002700109606
340,7.620299,0.002703615302
341,7.646952,0.002757147118
342,7.668393,0.002719433014
343,7.691469,0.002678159120
344,7.709764,0.002682438197
345,7.727416,0.002666891076
346,7.750566,0.002727670782
347,7.771002,0.002658875805
348,7.791033,0.002635063272
349,7.809277,0.002710106037
350,7.826955,0.002625506059
351,7.847062,0.002650766909
352,7.864217,0.002651885571
353,7.888334,0.002586777621
354,7.909436,0.002599331604
355,7.927567,0.002648697036
356,7.948074,0.002530727572
357,7.966167,0.002574091087
358,7.985093,0.002614349546
359,8.012607,0.002559806580
360,8.030380,0.002601675288
361,8.049978,0.002598827309
362,8.067551,0.002576613528
363,8.089270,0.002551301076
364,8.109317,0.002541637193
365,8.129164,0.002552422425
366,8.150880,0.002505474809
367,8.168969,0.002509789093
368,8.189337,0.002561597351
369,8.208945,0.002517301165
370,8.229235,0.002481771944
371,8.249329,0.002523721305
372,8.268390,0.002448185847
373,8.288951,0.002492107857
374,8.309997,0.002509804588
375,8.327868,0.002441707349
376,8.348895,0.002423437802
377,8.366180,0.002548933043
378,8.386659,0.002473733339
379,8.409640,0.002405566319
380,8.428006,0.002400095571
381,8.447407,0.002452519512
382,8.466457,0.002396733074
383,8.485728,0.002424306439
384,8.505772,0.002434810163
385,8.525378,0.002404136995
386,8.546473,0.002446612758
387,8.565282,0.002377913496
388,8.591184,0.002384934412
389,8.611426,0.002455128682
390,8.630080,0.002379503042
391,8.650125,0.002335604685
392,8.669064,0.002416107686
393,8.693504,0.002335552447
394,8.717300,0.002350016278
395,8.736603,0.002330656186
396,8.756947,0.002342128757
397,8.776609,0.002329764608
398,8.794643,0.002278979003
399,8.815240,0.002368880697
400,8.836334,0.002308382794
401,8.857438,0.002278566253
402,8.877832,0.002337855517
403,8.896896,0.002342350303
404,8.917892,0.002255058281
405,8.946483,0.002293172821
406,8.964167,0.002320427147
407,8.983556,0.002270131341
408,9.001412,0.002301738303
409,9.021444,0.002250474935
410,9.042777,0.002267972317
411,9.067488,0.002296077465
412,9.085930,0.002213136728
413,9.104653,0.002226509122
414,9.124623,0.002241693352
415,9.145282,0.002189390404
416,9.164737,0.002228541388
417,9.184785,0.002313333627
418,9.203355,0.002264035288
419,9.224793,0.002177813930
420,9.244678,0.002176881939
421,9.262855,0.002215079392
422,9.289736,0.002173105309
423,9.309697,0.002184967178
424,9.328622,0.002201680958
425,9.347784,0.002216471585
426,9.364904,0.002201213608
427,9.385369,0.002177462128
428,9.407178,0.002152488384
429,9.431130,0.002190450487
430,9.452062,0.002153883259
431,9.473681,0.002132211367
432,9.496163,0.002113332429
433,9.517330,0.002139655064
434,9.538514,0.002088763953
435,9.559374,0.002098439844
436,9.581294,0.002118474192
437,9.600080,0.002135265694
438,9.620245,0.002085455076
439,9.642548,0.002119734051
440,9.664309,0.002078656391
441,9.684720,0.002142733592
442,9.703112,0.002116511871
443,9.725264,0.002030945048
444,9.823147,0.002082583520
445,9.860089,0.002122327222
446,9.885726,0.002020944228
447,9.912072,0.002064432594
448,9.932716,0.002106781979
449,9.955993,0.002024559796
450,9.979054,0.002066201492
451,10.002514,0.002079515217
452,10.024454,0.002043836226
453,10.044063,0.002036916449
454,10.065896,0.002007737035
455,10.087785,0.001983338723
456,10.108379,0.002050105300
457,10.130338,0.002025067761
458,10.151518,0.002046238321
459,10.176794,0.001993100304
460,10.199012,0.002046697193
461,10.222619,0.002019251853
462,10.248566,0.001952260646
463,10.269298,0.002016456138
464,10.292549,0.001977132290
465,10.312694,0.002003698418
466,10.333639,0.001986759358
467,10.352900,0.001944463178
468,10.372877,0.001968923588
469,10.394011,0.002004044856
470,10.415308,0.002014217357
471,10.434521,0.001976329706
472,10.457703,0.001898215899
473,10.483400,0.001940133303
474,10.506462,0.001992263860
475,10.527296,0.001960900333
476,10.549360,0.001945863214
477,10.570405,0.001924191172
478,10.595858,0.001897053308
479,10.618666,0.002011027772
480,10.639726,0.001916478609
481,10.661930,0.001907171216
482,10.683364,0.001908243434
483,10.706037,0.001889125926
484,10.730822,0.001933499033
485,10.753158,0.001936554909
486,10.777518,0.001881084089
487,10.799296,0.001904104486
488,10.824771,0.001910050274
489,10.846726,0.001910144557
490,10.866418,0.001905078956
491,10.888752,0.001878777690
492,10.911618,0.001828205559
493,10.931422,0.001892409866
494,10.961565,0.001869565703
495,10.983999,0.001862044187
496,11.004728,0.001873699148
497,11.025305,0.001841597494
498,11.047024,0.001886287551
499,11.068651,0.001850639133
500,11.090601,0.001855895247
501,11.112364,0.001880781331
502,11.131515,0.001832220472
503,11.152356,0.001893978351
504,11.175863,0.001834841178
505,11.196503,0.001837337012
506,11.216150,0.001856955379
507,11.234946,0.001823688693
508,11.257089,0.001787694079
509,11.279452,0.001840716740
510,11.302842,0.001847566076
511,11.323644,0.001852042377
512,11.345303,0.001809201956
513,11.364218,0.001785342381
514,11.385126,0.001821478633
515,11.405785,0.001817504819
516,11.428253,0.001798467908
517,11.448442,0.001786620595
518,11.468006,0.001772041555
519,11.489523,0.001770849307
